Open_Time,Open,High,Low,Close,Volume,Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume,Ignore
2022-01-01 00:00:00,93.22,94.53,93.22,94.4,12906.98,2022-01-01 00:59:59.999000064,1212911.0326,5579,6951.35,653169.5919,0
2022-01-01 01:00:00,94.4,94.9,93.89,93.95,19089.96,2022-01-01 01:59:59.999000064,1801968.0813,9839,7188.34,678425.7546,0
2022-01-01 02:00:00,93.95,94.58,93.92,94.32,16171.96,2022-01-01 02:59:59.999000064,1524580.9357,7971,9315.2,878308.3247,0
2022-01-01 03:00:00,94.33,94.38,93.68,93.78,9484.1,2022-01-01 03:59:59.999000064,890540.7319,5306,4278.39,401637.0916,0
2022-01-01 04:00:00,93.8,93.9,93.35,93.61,7299.4,2022-01-01 04:59:59.999000064,683942.5948,2676,3100.39,290488.7317,0
2022-01-01 05:00:00,93.56,95.29,93.47,94.32,21511.75,2022-01-01 05:59:59.999000064,2035143.7194,7943,9462.9,895431.0325,0
2022-01-01 06:00:00,94.34,94.54,93.59,93.66,13823.82,2022-01-01 06:59:59.999000064,1300056.7508,6664,4839.74,455146.3169,0
2022-01-01 07:00:00,93.66,94.22,93.33,93.9,21548.42,2022-01-01 07:59:59.999000064,2019244.7063,6503,11840.69,1108925.7186,0
2022-01-01 08:00:00,93.91,94.36,93.78,94.05,11350.45,2022-01-01 08:59:59.999000064,1067505.554,7201,4197.58,394789.4325,0
2022-01-01 09:00:00,94.06,94.3,93.14,93.43,24031.44,2022-01-01 09:59:59.999000064,2249053.641,5402,12073.29,1128860.1559,0
2022-01-01 10:00:00,93.44,93.76,91.84,92.12,54694.53,2022-01-01 10:59:59.999000064,5064320.6671,7278,32182.69,2979622.9069,0
2022-01-01 11:00:00,92.11,92.32,91.38,91.81,40376.7,2022-01-01 11:59:59.999000064,3708652.6679,5615,19922.68,1830493.3839,0
2022-01-01 12:00:00,91.82,92.86,91.82,92.66,17948.64,2022-01-01 12:59:59.999000064,1658548.7267,3431,9247.45,854634.8414,0
2022-01-01 13:00:00,92.66,92.99,92.35,92.76,7643.54,2022-01-01 13:59:59.999000064,708614.346,2404,3746.21,347422.4509,0
2022-01-01 14:00:00,92.76,92.83,92.3,92.5,9897.97,2022-01-01 14:59:59.999000064,916448.3848,2491,5139.11,475802.9348,0
2022-01-01 15:00:00,92.5,93.37,92.37,92.81,11999.91,2022-01-01 15:59:59.999000064,1114377.9688,2857,7208.83,669303.2511,0
2022-01-01 16:00:00,92.78,93.9,92.64,93.05,27232.14,2022-01-01 16:59:59.999000064,2543981.5849,4292,12448.17,1162232.9111,0
2022-01-01 17:00:00,93.08,94.25,92.85,93.86,29975.94,2022-01-01 17:59:59.999000064,2808495.4631,6936,14524.16,1359396.487,0
2022-01-01 18:00:00,93.84,94.0,93.25,93.61,15459.36,2022-01-01 18:59:59.999000064,1447625.8001,3957,9119.43,854087.7559,0
2022-01-01 19:00:00,93.65,93.78,93.28,93.73,13093.07,2022-01-01 19:59:59.999000064,1225356.3009,2637,6681.06,625317.9546,0
2022-01-01 20:00:00,93.73,94.26,93.67,93.77,12864.72,2022-01-01 20:59:59.999000064,1207752.9727,5962,7237.27,679396.7486,0
2022-01-01 21:00:00,93.78,94.03,93.54,93.76,9013.17,2022-01-01 21:59:59.999000064,845500.2553,4953,4642.78,435524.6447,0
2022-01-01 22:00:00,93.74,93.86,93.45,93.76,7390.4,2022-01-01 22:59:59.999000064,692477.9672,2576,3764.44,352711.3306,0
2022-01-01 23:00:00,93.77,94.18,93.41,94.1,6073.02,2022-01-01 23:59:59.999000064,569161.4263,2664,3221.15,301838.5162,0
2022-01-02 00:00:00,94.09,94.2,93.62,94.17,11216.7,2022-01-02 00:59:59.999000064,1053336.4588,4844,4856.09,456046.3808,0
2022-01-02 01:00:00,94.17,94.39,93.93,94.02,16949.55,2022-01-02 01:59:59.999000064,1595493.2571,7537,5847.45,550474.4575,0
