Open_Time,Open,High,Low,Close,Volume,Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume,Ignore
2022-01-01 00:00:00,238.58,244.02,238.58,243.13,4083.27,2022-01-01 00:59:59.999000064,986998.0212,2874,2003.25,484121.381,0
2022-01-01 01:00:00,243.19,245.07,241.89,242.27,3299.82,2022-01-01 01:59:59.999000064,804319.9104,2360,1766.65,431001.993,0
2022-01-01 02:00:00,242.39,243.3,241.81,242.14,1239.2,2022-01-01 02:59:59.999000064,300732.018,1017,558.19,135445.5304,0
2022-01-01 03:00:00,242.27,243.16,242.0,242.46,935.16,2022-01-01 03:59:59.999000064,226851.7445,1010,616.29,149511.4646,0
2022-01-01 04:00:00,242.53,242.89,240.54,241.05,1389.24,2022-01-01 04:59:59.999000064,335151.4422,1207,758.53,182946.3393,0
2022-01-01 05:00:00,240.85,243.99,240.1,242.18,2694.2,2022-01-01 05:59:59.999000064,653698.2053,1750,1344.32,326479.2581,0
2022-01-01 06:00:00,242.22,242.82,240.76,240.9,732.68,2022-01-01 06:59:59.999000064,177014.5345,823,311.19,75193.9031,0
2022-01-01 07:00:00,241.04,242.36,240.34,241.83,1265.53,2022-01-01 07:59:59.999000064,305390.0599,1024,572.03,137936.2372,0
2022-01-01 08:00:00,241.72,242.62,240.07,240.27,2689.42,2022-01-01 08:59:59.999000064,648992.4348,1556,886.19,214160.338,0
2022-01-01 09:00:00,240.28,242.0,236.25,237.85,12533.86,2022-01-01 09:59:59.999000064,2989769.3874,5862,6523.37,1557060.5957,0
2022-01-01 10:00:00,237.76,238.68,235.49,237.14,5717.89,2022-01-01 10:59:59.999000064,1356836.1786,2997,1898.06,450643.8887,0
2022-01-01 11:00:00,237.1,238.39,236.4,236.58,2079.61,2022-01-01 11:59:59.999000064,493922.1277,1267,1127.68,267968.6711,0
2022-01-01 12:00:00,236.59,238.47,236.4,238.23,2284.27,2022-01-01 12:59:59.999000064,542480.72,1361,1370.49,325370.6925,0
2022-01-01 13:00:00,238.33,239.19,237.68,238.03,2107.52,2022-01-01 13:59:59.999000064,502321.5375,1341,1153.07,274787.5123,0
2022-01-01 14:00:00,237.85,238.39,236.93,237.7,1931.81,2022-01-01 14:59:59.999000064,459346.255,1507,803.8,191065.5562,0
2022-01-01 15:00:00,237.63,240.06,237.31,238.75,2877.19,2022-01-01 15:59:59.999000064,686857.3577,1737,1072.16,256026.7066,0
2022-01-01 16:00:00,238.72,240.1,237.99,238.62,4891.2,2022-01-01 16:59:59.999000064,1169346.2404,2724,1754.01,419541.0356,0
