Open_Time,Open,High,Low,Close,Volume,Close_Time,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume,Ignore
2022-01-01 00:00:00,3676.22,3730.0,3676.22,3723.04,9023.374,2022-01-01 00:59:59.999000064,33430053.335683,21702,4552.4363,16864789.87679,0
2022-01-01 01:00:00,3723.04,3748.45,3714.1,3724.89,8997.7569,2022-01-01 01:59:59.999000064,33572623.190461,21666,4156.575,15508157.024431,0
2022-01-01 02:00:00,3724.88,3738.47,3722.23,3728.32,5028.4531,2022-01-01 02:59:59.999000064,18757311.255541,13886,2224.3701,8297763.542962,0
2022-01-01 03:00:00,3728.41,3737.0,3721.84,3723.96,3543.1853,2022-01-01 03:59:59.999000064,13211030.720536,11475,1757.2116,6552446.104949,0
2022-01-01 04:00:00,3723.96,3728.07,3707.24,3708.21,6117.282,2022-01-01 04:59:59.999000064,22732081.677614,14222,3308.0933,12291668.230392,0
2022-01-01 05:00:00,3708.2,3765.27,3702.84,3735.61,9353.2056,2022-01-01 05:59:59.999000064,34969772.63518,23848,5086.5058,19008969.454698,0
2022-01-01 06:00:00,3735.6,3742.67,3708.33,3711.92,5239.0026,2022-01-01 06:59:59.999000064,19525359.243837,13746,2525.8165,9414140.6244,0
2022-01-01 07:00:00,3711.93,3724.93,3701.0,3715.31,6541.6499,2022-01-01 07:59:59.999000064,24286038.021862,17918,3431.6561,12740113.730689,0
2022-01-01 08:00:00,3715.32,3733.84,3708.6,3721.4,4013.6403,2022-01-01 08:59:59.999000064,14934292.985917,13856,2095.3761,7796329.677569,0
2022-01-01 09:00:00,3721.14,3730.0,3709.38,3718.67,4515.6636,2022-01-01 09:59:59.999000064,16803125.774547,14268,2212.0093,8229750.294805,0
2022-01-01 10:00:00,3718.67,3731.88,3673.46,3691.39,10412.4737,2022-01-01 10:59:59.999000064,38510468.901812,27897,4949.8277,18313664.694214,0
2022-01-01 11:00:00,3691.39,3712.19,3691.02,3693.37,4786.2173,2022-01-01 11:59:59.999000064,17719693.150087,15708,2436.7335,9022144.218042,0
2022-01-01 12:00:00,3693.38,3718.24,3693.37,3716.28,6595.553,2022-01-01 12:59:59.999000064,24450344.31964,15801,3282.4584,12169192.260587,0
2022-01-01 13:00:00,3716.28,3724.93,3706.32,3710.03,5715.5972,2022-01-01 13:59:59.999000064,21239742.678242,14338,2461.7557,9146406.979116,0
